"Detalhes (Codigo | Descricao | Header)","Ocorrencias"
"00000000000000 | ARROZ FANTASTICO PREM.AGULHINHA T.1 | EAN_Header: 7896584300024","2294"
"00000000000000 | ARROZ SABOR CARIOCA F.DE TIPO | EAN_Header: 7896584300024","2170"
"00000000000000 | FEIJAO FANTASTICO PRETO T.1 | EAN_Header: 7896584300024","434"
"00000000000000 | FEIJAO FANTASTICO CARIOCA T.1 | EAN_Header: 7896584300024","248"
