"Detalhes (Codigo | Descricao | Header)","Ocorrencias"
"27896584300073 | FEIJAO CARIOCA T1 1KG SABOROSO           | EAN_Header: 7896584300017","868"
"27896584300356 | ARROZ T1 1KG SABOROSO                    | EAN_Header: 7896584300017","868"
"90896187 | ARROZ T1 1KG FANTASTICO PARB INT         | EAN_Header: 7896584300017","868"
"17896584300342 | ARROZ T1 1KG SABOROSO PARB INTEGRAL      | EAN_Header: 7896584300017","868"
"17896584300045 | FEIJAO CARIOCA T1 1KG FANTASTI           | EAN_Header: 7896584300017","868"
"17896584300038 | ARROZ T1 5KG SABOROSO                    | EAN_Header: 7896584300017","806"
"17896584300106 | FEIJAO PRETO T1 1KG FANTASTICO           | EAN_Header: 7896584300017","806"
"27896584300219 | ARROZ T1 1KG FANTASTICO NOBRES           | EAN_Header: 7896584300017","806"
"17896584300205 | ARROZ T1 5KG PARB FANTASTICO             | EAN_Header: 7896584300017","682"
"27896584300448 | FEIJAO PRETO T1 1KG SABOROSO             | EAN_Header: 7896584300017","558"
"17896584300014 | ARROZ T1 5KG FANTASTICO NOBRES           | EAN_Header: 7896584300017","558"
